Date,WL_1018610,WL_1018640,WL_1018662,WL_1018675,WL_1019630,Target_1018683
7/17/2024 0:00,2.27,1.2,2.1,0.8,2.54,1.5
7/17/2024 0:10,2.27,1.2,2.09,0.8,2.54,1.51
7/17/2024 0:20,2.27,1.2,2.08,0.82,2.54,1.51
7/17/2024 0:30,2.27,1.2,2.06,0.83,2.55,1.51
7/17/2024 0:40,2.27,1.2,2.05,0.83,2.55,1.51
7/17/2024 0:50,2.26,1.2,2.05,0.83,2.56,1.51
7/17/2024 1:00,2.26,1.2,2.05,0.84,2.56,1.51
7/17/2024 1:10,2.23,1.2,2.05,0.84,2.55,1.51
7/17/2024 1:20,2.22,1.2,2.06,0.84,2.55,1.51
7/17/2024 1:30,2.21,1.2,2.05,0.84,2.54,1.5
7/17/2024 1:40,2.2,1.2,2.05,0.84,2.54,1.5
7/17/2024 1:50,2.2,1.2,2.05,0.83,2.54,1.5
7/17/2024 2:00,2.19,1.19,2.05,0.83,2.54,1.5
7/17/2024 2:10,2.19,1.19,2.06,0.82,2.54,1.5
7/17/2024 2:20,2.19,1.19,2.05,0.82,2.54,1.5
7/17/2024 2:30,2.18,1.19,2.06,0.82,2.54,1.5
7/17/2024 2:40,2.16,1.18,2.05,0.82,2.54,1.5
7/17/2024 2:50,2.14,1.18,2.05,0.83,2.54,1.5
7/17/2024 3:00,2.14,1.18,2.04,0.83,2.54,1.5
7/17/2024 3:10,2.13,1.18,2.04,0.82,2.54,1.5
7/17/2024 3:20,2.12,1.17,2.04,0.82,2.54,1.5
7/17/2024 3:30,2.12,1.17,2.02,0.83,2.54,1.49
7/17/2024 3:40,2.12,1.17,2.02,0.84,2.54,1.48
7/17/2024 3:50,2.12,1.17,2.01,0.86,2.54,1.48
7/17/2024 4:00,2.12,1.16,2.01,0.87,2.54,1.48
7/17/2024 4:10,2.11,1.16,2.01,0.9,2.54,1.48
7/17/2024 4:20,2.11,1.16,2.01,0.91,2.53,1.47
